2023-05-31 17:39:29.577 [main] INFO  o.a.f.runtime.io.network.buffer.NetworkBufferPool - Allocated 64 MB for network buffer pool (number of memory segments: 2048, bytes per segment: 32768).
2023-05-31 17:39:29.587 [main] INFO  o.a.f.runtime.io.network.NettyShuffleEnvironment - Starting the network environment and its components.
2023-05-31 17:39:29.589 [main] INFO  o.apache.flink.runtime.taskexecutor.KvStateService - Starting the kvState service and its components.
2023-05-31 17:39:29.597 [main] INFO  org.apache.flink.configuration.Configuration - Config uses fallback configuration key 'akka.ask.timeout' instead of key 'taskmanager.slot.timeout'
2023-05-31 17:39:29.607 [main] INFO  org.apache.flink.runtime.rpc.akka.AkkaRpcService - Starting RPC endpoint for org.apache.flink.runtime.taskexecutor.TaskExecutor at akka://flink/user/rpc/taskmanager_0 .
2023-05-31 17:39:29.618 [flink-akka.actor.default-dispatcher-4] INFO  o.a.f.runtime.taskexecutor.DefaultJobLeaderService - Start job leader service.
2023-05-31 17:39:29.619 [flink-akka.actor.default-dispatcher-4] INFO  org.apache.flink.runtime.filecache.FileCache - User file cache uses directory C:\Users\PENGZH~1\AppData\Local\Temp\flink-dist-cache-0a0f9c9d-1299-49d8-b466-79b670cdba49
2023-05-31 17:39:29.651 [main] INFO  o.a.f.runtime.dispatcher.DispatcherRestEndpoint - Starting rest endpoint.
2023-05-31 17:39:30.210 [main] INFO  o.a.f.runtime.dispatcher.DispatcherRestEndpoint - Rest endpoint listening at localhost:61874
2023-05-31 17:39:30.210 [main] INFO  o.a.f.r.h.nonha.embedded.EmbeddedLeaderService - Proposing leadership to contender http://localhost:61874
2023-05-31 17:39:30.211 [main] INFO  o.a.f.runtime.dispatcher.DispatcherRestEndpoint - Web frontend listening at http://localhost:61874.
2023-05-31 17:39:30.211 [mini-cluster-io-thread-1] INFO  o.a.f.runtime.dispatcher.DispatcherRestEndpoint - http://localhost:61874 was granted leadership with leaderSessionID=3b3fb7f2-4804-4bce-9696-e04aa928d69a
2023-05-31 17:39:30.212 [mini-cluster-io-thread-1] INFO  o.a.f.r.h.nonha.embedded.EmbeddedLeaderService - Received confirmation of leadership for leader http://localhost:61874 , session=3b3fb7f2-4804-4bce-9696-e04aa928d69a
2023-05-31 17:39:30.220 [main] INFO  o.a.f.r.h.nonha.embedded.EmbeddedLeaderService - Proposing leadership to contender LeaderContender: DefaultDispatcherRunner
2023-05-31 17:39:30.220 [main] INFO  o.a.f.r.resourcemanager.ResourceManagerServiceImpl - Starting resource manager service.
2023-05-31 17:39:30.220 [main] INFO  o.a.f.r.h.nonha.embedded.EmbeddedLeaderService - Proposing leadership to contender LeaderContender: ResourceManagerServiceImpl
2023-05-31 17:39:30.220 [mini-cluster-io-thread-2] INFO  o.a.f.r.dispatcher.runner.DefaultDispatcherRunner - DefaultDispatcherRunner was granted leadership with leader id 42f60c19-ded7-41c4-8615-af7b8ac2097a. Creating new DispatcherLeaderProcess.
2023-05-31 17:39:30.221 [pool-2-thread-1] INFO  o.a.f.r.resourcemanager.ResourceManagerServiceImpl - Resource manager service is granted leadership with session id abb454eb-25c6-46a2-a4b1-5ebb0c668164.
2023-05-31 17:39:30.222 [main] INFO  org.apache.flink.runtime.minicluster.MiniCluster - Flink Mini Cluster started successfully
2023-05-31 17:39:30.224 [mini-cluster-io-thread-2] INFO  o.a.f.r.d.runner.SessionDispatcherLeaderProcess - Start SessionDispatcherLeaderProcess.
2023-05-31 17:39:30.227 [mini-cluster-io-thread-1] INFO  o.a.f.r.d.runner.SessionDispatcherLeaderProcess - Recover all persisted job graphs that are not finished, yet.
2023-05-31 17:39:30.227 [mini-cluster-io-thread-1] INFO  o.a.f.r.d.runner.SessionDispatcherLeaderProcess - Successfully recovered 0 persisted job graphs.
2023-05-31 17:39:30.234 [pool-2-thread-1] INFO  org.apache.flink.runtime.rpc.akka.AkkaRpcService - Starting RPC endpoint for org.apache.flink.runtime.resourcemanager.StandaloneResourceManager at akka://flink/user/rpc/resourcemanager_1 .
2023-05-31 17:39:30.237 [mini-cluster-io-thread-1] INFO  org.apache.flink.runtime.rpc.akka.AkkaRpcService - Starting RPC endpoint for org.apache.flink.runtime.dispatcher.StandaloneDispatcher at akka://flink/user/rpc/dispatcher_2 .
2023-05-31 17:39:30.245 [flink-akka.actor.default-dispatcher-4] INFO  o.a.f.r.resourcemanager.StandaloneResourceManager - Starting the resource manager.
2023-05-31 17:39:30.249 [mini-cluster-io-thread-1] INFO  o.a.f.r.h.nonha.embedded.EmbeddedLeaderService - Received confirmation of leadership for leader akka://flink/user/rpc/dispatcher_2 , session=42f60c19-ded7-41c4-8615-af7b8ac2097a
2023-05-31 17:39:30.250 [mini-cluster-io-thread-3] INFO  o.a.f.r.h.nonha.embedded.EmbeddedLeaderService - Received confirmation of leadership for leader akka://flink/user/rpc/resourcemanager_1 , session=abb454eb-25c6-46a2-a4b1-5ebb0c668164
2023-05-31 17:39:30.269 [flink-akka.actor.default-dispatcher-6] INFO  org.apache.flink.runtime.taskexecutor.TaskExecutor - Connecting to ResourceManager akka://flink/user/rpc/resourcemanager_1(a4b15ebb0c668164abb454eb25c646a2).
2023-05-31 17:39:30.274 [flink-akka.actor.default-dispatcher-7] INFO  org.apache.flink.runtime.taskexecutor.TaskExecutor - Resolved ResourceManager address, beginning registration
2023-05-31 17:39:30.277 [flink-akka.actor.default-dispatcher-7] INFO  o.a.flink.runtime.dispatcher.StandaloneDispatcher - Received JobGraph submission 'Flink Streaming Job' (e14dd5d7679c9d9f3f0a665935f8a033).
2023-05-31 17:39:30.277 [flink-akka.actor.default-dispatcher-7] INFO  o.a.flink.runtime.dispatcher.StandaloneDispatcher - Submitting job 'Flink Streaming Job' (e14dd5d7679c9d9f3f0a665935f8a033).
2023-05-31 17:39:30.277 [flink-akka.actor.default-dispatcher-8] INFO  o.a.f.r.resourcemanager.StandaloneResourceManager - Registering TaskManager with ResourceID dbe4091f-71a6-495d-ad55-cb811df7ec1c (akka://flink/user/rpc/taskmanager_0) at ResourceManager
2023-05-31 17:39:30.279 [flink-akka.actor.default-dispatcher-4] INFO  org.apache.flink.runtime.taskexecutor.TaskExecutor - Successful registration at resource manager akka://flink/user/rpc/resourcemanager_1 under registration id 955d1f9774b52ba5f8342255956ae9a1.
2023-05-31 17:39:30.289 [flink-akka.actor.default-dispatcher-7] INFO  o.a.f.r.h.nonha.embedded.EmbeddedLeaderService - Proposing leadership to contender LeaderContender: JobMasterServiceLeadershipRunner
2023-05-31 17:39:30.297 [jobmanager-io-thread-1] INFO  org.apache.flink.runtime.rpc.akka.AkkaRpcService - Starting RPC endpoint for org.apache.flink.runtime.jobmaster.JobMaster at akka://flink/user/rpc/jobmanager_3 .
2023-05-31 17:39:30.302 [jobmanager-io-thread-1] INFO  org.apache.flink.runtime.jobmaster.JobMaster - Initializing job 'Flink Streaming Job' (e14dd5d7679c9d9f3f0a665935f8a033).
2023-05-31 17:39:30.318 [jobmanager-io-thread-1] INFO  org.apache.flink.runtime.jobmaster.JobMaster - Using restart back off time strategy NoRestartBackoffTimeStrategy for Flink Streaming Job (e14dd5d7679c9d9f3f0a665935f8a033).
2023-05-31 17:39:30.340 [jobmanager-io-thread-1] INFO  o.a.flink.runtime.executiongraph.ExecutionGraph - Created execution graph a7dd682a51c2b85db08c003ffc75921e for job e14dd5d7679c9d9f3f0a665935f8a033.
2023-05-31 17:39:30.352 [jobmanager-io-thread-1] INFO  org.apache.flink.runtime.jobmaster.JobMaster - Running initialization on master for job Flink Streaming Job (e14dd5d7679c9d9f3f0a665935f8a033).
2023-05-31 17:39:30.353 [jobmanager-io-thread-1] INFO  org.apache.flink.runtime.jobmaster.JobMaster - Successfully ran initialization on master in 0 ms.
